PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39736462","Magnetic microscale polymeric nanocomposites in drug delivery: advances and challenges","Shi K, Nokhodchi A, Ghafourian T.","Drug Discov Today. 2025 Jan;30(1):104276. doi: 10.1016/j.drudis.2024.104276. Epub 2024 Dec 29.","Shi K","Drug Discov Today","2025","2024/12/30","","","10.1016/j.drudis.2024.104276"
"24099326","Stimuli-sensitive hydrogels: an excellent carrier for drug and cell delivery","Garg T, Singh S, Goyal AK.","Crit Rev Ther Drug Carrier Syst. 2013;30(5):369-409. doi: 10.1615/critrevtherdrugcarriersyst.2013007259.","Garg T","Crit Rev Ther Drug Carrier Syst","2013","2013/10/09","","","10.1615/critrevtherdrugcarriersyst.2013007259"
"36926815","Penetrative and Sustained Drug Delivery Using Injectable Hydrogel Nanocomposites for Postsurgical Brain Tumor Treatment","Kang T, Cha GD, Park OK, Cho HR, Kim M, Lee J, Kim D, Lee B, Chu J, Koo S, Hyeon T, Kim DH, Choi SH.","ACS Nano. 2023 Mar 28;17(6):5435-5447. doi: 10.1021/acsnano.2c10094. Epub 2023 Mar 16.","Kang T","ACS Nano","2023","2023/03/17","","","10.1021/acsnano.2c10094"
"31028504","Biomaterials and Magnetic Stem Cell Delivery in the Treatment of Spinal Cord Injury","Kubinová Š.","Neurochem Res. 2020 Jan;45(1):171-179. doi: 10.1007/s11064-019-02808-2. Epub 2019 Apr 26.","Kubinová Š","Neurochem Res","2020","2019/04/28","","","10.1007/s11064-019-02808-2"
"27693428","Anticancer drug-loaded hydrogels as drug delivery systems for the local treatment of glioblastoma","Bastiancich C, Danhier P, Préat V, Danhier F.","J Control Release. 2016 Dec 10;243:29-42. doi: 10.1016/j.jconrel.2016.09.034. Epub 2016 Sep 28.","Bastiancich C","J Control Release","2016","2016/11/07","","","10.1016/j.jconrel.2016.09.034"
"32348221","Current Trends in Drug Delivery System of Curcumin and its Therapeutic Applications","Sethiya A, Agarwal DK, Agarwal S.","Mini Rev Med Chem. 2020;20(13):1190-1232. doi: 10.2174/1389557520666200429103647.","Sethiya A","Mini Rev Med Chem","2020","2020/04/30","","","10.2174/1389557520666200429103647"
"28408827","Photothermal-modulated drug delivery and magnetic relaxation based on collagen/poly(γ-glutamic acid) hydrogel","Cho SH, Kim A, Shin W, Heo MB, Noh HJ, Hong KS, Cho JH, Lim YT.","Int J Nanomedicine. 2017 Mar 31;12:2607-2620. doi: 10.2147/IJN.S133078. eCollection 2017.","Cho SH","Int J Nanomedicine","2017","2017/04/15","PMC5383084","","10.2147/IJN.S133078"
"34010690","Catechol-metal coordination-mediated nanocomposite hydrogels for on-demand drug delivery and efficacious combination therapy","Dai G, Sun L, Xu J, Zhao G, Tan Z, Wang C, Sun X, Xu K, Zhong W.","Acta Biomater. 2021 Jul 15;129:84-95. doi: 10.1016/j.actbio.2021.05.006. Epub 2021 May 16.","Dai G","Acta Biomater","2021","2021/05/19","","","10.1016/j.actbio.2021.05.006"
"32431072","Bilayer Hydrogel Sheet-Type Intraocular Microrobot for Drug Delivery and Magnetic Nanoparticles Retrieval","Kim DI, Lee H, Kwon SH, Sung YJ, Song WK, Park S.","Adv Healthc Mater. 2020 Jul;9(13):e2000118. doi: 10.1002/adhm.202000118. Epub 2020 May 19.","Kim DI","Adv Healthc Mater","2020","2020/05/21","","","10.1002/adhm.202000118"
"41451166","Magnetic Nanocomposite Hydrogels in Orthopedics: Applications and Perspectives","Shi S, He S, Lin Q, Sun S.","Int J Nanomedicine. 2025 Dec 20;20:15379-15394. doi: 10.2147/IJN.S539423. eCollection 2025.","Shi S","Int J Nanomedicine","2025","2025/12/26","PMC12730143","","10.2147/IJN.S539423"
"33387892","Hydrogel beads-based nanocomposites in novel drug delivery platforms: Recent trends and developments","Amiri M, Khazaeli P, Salehabadi A, Salavati-Niasari M.","Adv Colloid Interface Sci. 2021 Feb;288:102316. doi: 10.1016/j.cis.2020.102316. Epub 2020 Nov 10.","Amiri M","Adv Colloid Interface Sci","2021","2021/01/02","","","10.1016/j.cis.2020.102316"
"34082970","Improved drug delivery and accelerated diabetic wound healing by chondroitin sulfate grafted alginate-based thermoreversible hydrogels","Shah SA, Sohail M, Khan SA, Kousar M.","Mater Sci Eng C Mater Biol Appl. 2021 Jul;126:112169. doi: 10.1016/j.msec.2021.112169. Epub 2021 May 14.","Shah SA","Mater Sci Eng C Mater Biol Appl","2021","2021/06/04","","","10.1016/j.msec.2021.112169"
"38619087","Development and characterization of magnetic hydrogels loaded with greenly synthesized iron-oxide nanoparticles conjugated with cisplatin","Shammeri A, Abu-Huwaij R, Hamed R.","Pharm Dev Technol. 2024 Apr;29(4):383-392. doi: 10.1080/10837450.2024.2341244. Epub 2024 Apr 15.","Shammeri A","Pharm Dev Technol","2024","2024/04/15","","","10.1080/10837450.2024.2341244"
"36958613","Rheological and low field NMR characterization of hydrophobically-modified PEG hydrogels for drug delivery","Abrami M, Bignotti F, Baldi F, Spagnoli G, Biasin A, Grassi L, Grassi G, Grassi M.","Int J Pharm. 2023 Apr 25;637:122882. doi: 10.1016/j.ijpharm.2023.122882. Epub 2023 Mar 21.","Abrami M","Int J Pharm","2023","2023/03/23","","","10.1016/j.ijpharm.2023.122882"
"31029355","Magnetic and self-healing chitosan-alginate hydrogel encapsulated gelatin microspheres via covalent cross-linking for drug delivery","Chen X, Fan M, Tan H, Ren B, Yuan G, Jia Y, Li J, Xiong D, Xing X, Niu X, Hu X.","Mater Sci Eng C Mater Biol Appl. 2019 Aug;101:619-629. doi: 10.1016/j.msec.2019.04.012. Epub 2019 Apr 9.","Chen X","Mater Sci Eng C Mater Biol Appl","2019","2019/04/29","","","10.1016/j.msec.2019.04.012"
"37442500","Drug delivery based on a supramolecular chemistry approach by using chitosan hydrogels","Ailincai D, Morariu S, Rosca I, Sandu AI, Marin L.","Int J Biol Macromol. 2023 Sep 1;248:125800. doi: 10.1016/j.ijbiomac.2023.125800. Epub 2023 Jul 12.","Ailincai D","Int J Biol Macromol","2023","2023/07/13","","","10.1016/j.ijbiomac.2023.125800"
"29704742","Magnetic hydrogels for levodopa release and cell stimulation triggered by external magnetic field","Kondaveeti S, Semeano ATS, Cornejo DR, Ulrich H, Petri DFS.","Colloids Surf B Biointerfaces. 2018 Jul 1;167:415-424. doi: 10.1016/j.colsurfb.2018.04.040. Epub 2018 Apr 22.","Kondaveeti S","Colloids Surf B Biointerfaces","2018","2018/04/29","","","10.1016/j.colsurfb.2018.04.040"
"31564860","Temperature and pH-responsive nano-hydrogel drug delivery system based on lysine-modified poly (vinylcaprolactam)","Farjadian F, Rezaeifard S, Naeimi M, Ghasemi S, Mohammadi-Samani S, Welland ME, Tayebi L.","Int J Nanomedicine. 2019 Aug 30;14:6901-6915. doi: 10.2147/IJN.S214467. eCollection 2019.","Farjadian F","Int J Nanomedicine","2019","2019/10/01","PMC6730641","","10.2147/IJN.S214467"
"37880878","Catheter-Assisted Bioinspired Adhesive Magnetic Soft Millirobot for Drug Delivery","Hu X, Zhou Y, Li M, Wu J, He G, Jiao N.","Small. 2024 Mar;20(11):e2306510. doi: 10.1002/smll.202306510. Epub 2023 Oct 25.","Hu X","Small","2024","2023/10/26","","","10.1002/smll.202306510"
"36436870","Hyaluronic acid-based hydrogels: Drug diffusion investigated by HR-MAS NMR and release kinetics","Vanoli V, Delleani S, Casalegno M, Pizzetti F, Makvandi P, Haugen H, Mele A, Rossi F, Castiglione F.","Carbohydr Polym. 2023 Feb 1;301(Pt A):120309. doi: 10.1016/j.carbpol.2022.120309. Epub 2022 Nov 9.","Vanoli V","Carbohydr Polym","2023","2022/11/27","","","10.1016/j.carbpol.2022.120309"
"37336380","k-Carrageenan based magnetic@polyelectrolyte complex composite hydrogel for pH and temperature-responsive curcumin delivery","Santhamoorthy M, Thirupathi K, Kumar SSD, Pandiaraj S, Rahaman M, Phan TTV, Kim SC.","Int J Biol Macromol. 2023 Jul 31;244:125467. doi: 10.1016/j.ijbiomac.2023.125467. Epub 2023 Jun 17.","Santhamoorthy M","Int J Biol Macromol","2023","2023/06/19","","","10.1016/j.ijbiomac.2023.125467"
"35839641","Synthesis of magnetic/pH dual responsive dextran hydrogels as stimuli-sensitive drug carriers","Zeng N, He L, Jiang L, Shan S, Su H.","Carbohydr Res. 2022 Oct;520:108632. doi: 10.1016/j.carres.2022.108632. Epub 2022 Jul 9.","Zeng N","Carbohydr Res","2022","2022/07/15","","","10.1016/j.carres.2022.108632"
"37355059","Preparation of pH-responsive magnetic nanocomposite hydrogels based on k-carrageenan/chitosan/silver nanoparticles: Antibacterial carrier for potential targeted anticancer drug delivery","Fathi R, Mohammadi R.","Int J Biol Macromol. 2023 Aug 15;246:125546. doi: 10.1016/j.ijbiomac.2023.125546. Epub 2023 Jun 22.","Fathi R","Int J Biol Macromol","2023","2023/06/24","","","10.1016/j.ijbiomac.2023.125546"
"29521255","An Overview on Various Approaches and Recent Patents on Gastroretentive Drug Delivery Systems","Kumar M, Kaushik D.","Recent Pat Drug Deliv Formul. 2018;12(2):84-92. doi: 10.2174/1872211312666180308150218.","Kumar M","Recent Pat Drug Deliv Formul","2018","2018/03/10","","","10.2174/1872211312666180308150218"
"30857392","Programming Stimuli-Responsive Behavior into Biomaterials","Badeau BA, DeForest CA.","Annu Rev Biomed Eng. 2019 Jun 4;21:241-265. doi: 10.1146/annurev-bioeng-060418-052324. Epub 2019 Mar 11.","Badeau BA","Annu Rev Biomed Eng","2019","2019/03/13","","","10.1146/annurev-bioeng-060418-052324"
"26196600","In Situ Synthesis of Magnetic Field-Responsive Hemicellulose Hydrogels for Drug Delivery","Zhao W, Odelius K, Edlund U, Zhao C, Albertsson AC.","Biomacromolecules. 2015 Aug 10;16(8):2522-8. doi: 10.1021/acs.biomac.5b00801. Epub 2015 Jul 30.","Zhao W","Biomacromolecules","2015","2015/07/22","PMC4535706","","10.1021/acs.biomac.5b00801"
"38431004","A review of recent advances of cellulose-based intelligent-responsive hydrogels as vehicles for controllable drug delivery system","Gong J, Hou L, Ching YC, Ching KY, Hai ND, Chuah CH.","Int J Biol Macromol. 2024 Apr;264(Pt 2):130525. doi: 10.1016/j.ijbiomac.2024.130525. Epub 2024 Feb 29.","Gong J","Int J Biol Macromol","2024","2024/03/02","","","10.1016/j.ijbiomac.2024.130525"
"33979137","Detecting and Monitoring Hydrogels with Medical Imaging","Dong YC, Bouché M, Uman S, Burdick JA, Cormode DP.","ACS Biomater Sci Eng. 2021 Sep 13;7(9):4027-4047. doi: 10.1021/acsbiomaterials.0c01547. Epub 2021 May 12.","Dong YC","ACS Biomater Sci Eng","2021","2021/05/12","PMC8440385","NIHMS1708748","10.1021/acsbiomaterials.0c01547"
"19261988","Stimuli-responsive polymers and their applications in drug delivery","Bawa P, Pillay V, Choonara YE, du Toit LC.","Biomed Mater. 2009 Apr;4(2):022001. doi: 10.1088/1748-6041/4/2/022001. Epub 2009 Mar 5.","Bawa P","Biomed Mater","2009","2009/03/06","","","10.1088/1748-6041/4/2/022001"
"39083365","Double-crosslinkable poly(urethane)-based hydrogels relying on supramolecular interactions and light-initiated polymerization: promising tools for advanced applications in drug delivery","Torchio A, Boffito M, Laurano R, Cassino C, Lavella M, Ciardelli G.","J Mater Chem B. 2024 Aug 28;12(34):8389-8407. doi: 10.1039/d4tb00092g.","Torchio A","J Mater Chem B","2024","2024/07/31","","","10.1039/d4tb00092g"
"26009273","Untethered magnetic millirobot for targeted drug delivery","Iacovacci V, Lucarini G, Ricotti L, Dario P, Dupont PE, Menciassi A.","Biomed Microdevices. 2015;17(3):9962. doi: 10.1007/s10544-015-9962-9.","Iacovacci V","Biomed Microdevices","2015","2015/05/27","","","10.1007/s10544-015-9962-9"
"34361098","Synthesis and Characterization of New Biodegradable Injectable Thermosensitive Smart Hydrogels for 5-Fluorouracil Delivery","Kasiński A, Zielińska-Pisklak M, Kowalczyk S, Plichta A, Zgadzaj A, Oledzka E, Sobczak M.","Int J Mol Sci. 2021 Aug 3;22(15):8330. doi: 10.3390/ijms22158330.","Kasiński A","Int J Mol Sci","2021","2021/08/07","PMC8347305","","10.3390/ijms22158330"
"33300343","MTX-Loaded Dual Thermoresponsive and pH-Responsive Magnetic Hydrogel Nanocomposite Particles for Combined Controlled Drug Delivery and Hyperthermia Therapy of Cancer","Najafipour A, Gharieh A, Fassihi A, Sadeghi-Aliabadi H, Mahdavian AR.","Mol Pharm. 2021 Jan 4;18(1):275-284. doi: 10.1021/acs.molpharmaceut.0c00910. Epub 2020 Dec 10.","Najafipour A","Mol Pharm","2021","2020/12/10","","","10.1021/acs.molpharmaceut.0c00910"
"25491827","In situ synthesis of magnetic CaraPVA IPN nanocomposite hydrogels and controlled drug release","Mahdavinia GR, Etemadi H.","Mater Sci Eng C Mater Biol Appl. 2014 Dec;45:250-60. doi: 10.1016/j.msec.2014.09.023. Epub 2014 Sep 16.","Mahdavinia GR","Mater Sci Eng C Mater Biol Appl","2014","2014/12/11","","","10.1016/j.msec.2014.09.023"
"25197770","Magnetic/pH-sensitive κ-carrageenan/sodium alginate hydrogel nanocomposite beads: preparation, swelling behavior, and drug delivery","Mahdavinia GR, Rahmani Z, Karami S, Pourjavadi A.","J Biomater Sci Polym Ed. 2014;25(17):1891-906. doi: 10.1080/09205063.2014.956166. Epub 2014 Sep 8.","Mahdavinia GR","J Biomater Sci Polym Ed","2014","2014/09/09","","","10.1080/09205063.2014.956166"
"33357842","Bacterial cellulose-based magnetic nanocomposites: A review","Sriplai N, Pinitsoontorn S.","Carbohydr Polym. 2021 Feb 15;254:117228. doi: 10.1016/j.carbpol.2020.117228. Epub 2020 Oct 22.","Sriplai N","Carbohydr Polym","2021","2020/12/28","","","10.1016/j.carbpol.2020.117228"
"40680959","Natural polysaccharide-based nano-drug delivery systems: Innovative strategies and research advances in cancer therapy - A review","Liu Y, Xu J, Guo Y.","Int J Biol Macromol. 2025 Sep;321(Pt 1):146081. doi: 10.1016/j.ijbiomac.2025.146081. Epub 2025 Jul 16.","Liu Y","Int J Biol Macromol","2025","2025/07/18","","","10.1016/j.ijbiomac.2025.146081"
"31841826","Synthesis of a novel magnetic starch-alginic acid-based biomaterial for drug delivery","Forouzandehdel S, Forouzandehdel S, Rezghi Rami M.","Carbohydr Res. 2020 Jan;487:107889. doi: 10.1016/j.carres.2019.107889. Epub 2019 Dec 6.","Forouzandehdel S","Carbohydr Res","2020","2019/12/17","","","10.1016/j.carres.2019.107889"
"25453967","Genipin-crosslinked catechol-chitosan mucoadhesive hydrogels for buccal drug delivery","Xu J, Strandman S, Zhu JX, Barralet J, Cerruti M.","Biomaterials. 2015 Jan;37:395-404. doi: 10.1016/j.biomaterials.2014.10.024. Epub 2014 Oct 26.","Xu J","Biomaterials","2015","2014/12/03","","","10.1016/j.biomaterials.2014.10.024"
"37419264","Recent advances of magnetic chitosan hydrogel: Preparation, properties and applications","Niu Y, Wu J, Kang Y, Sun P, Xiao Z, Zhao D.","Int J Biol Macromol. 2023 Aug 30;247:125722. doi: 10.1016/j.ijbiomac.2023.125722. Epub 2023 Jul 6.","Niu Y","Int J Biol Macromol","2023","2023/07/07","","","10.1016/j.ijbiomac.2023.125722"
"31877054","Hydrogel-Based Controlled Drug Delivery for Cancer Treatment: A Review","Sun Z, Song C, Wang C, Hu Y, Wu J.","Mol Pharm. 2020 Feb 3;17(2):373-391. doi: 10.1021/acs.molpharmaceut.9b01020. Epub 2020 Jan 7.","Sun Z","Mol Pharm","2020","2019/12/27","","","10.1021/acs.molpharmaceut.9b01020"
"32298719","A bio-inspired magnetic natural hydrogel containing gelatin and alginate as a drug delivery system for cancer chemotherapy","Jahanban-Esfahlan R, Derakhshankhah H, Haghshenas B, Massoumi B, Abbasian M, Jaymand M.","Int J Biol Macromol. 2020 Aug 1;156:438-445. doi: 10.1016/j.ijbiomac.2020.04.074. Epub 2020 Apr 13.","Jahanban-Esfahlan R","Int J Biol Macromol","2020","2020/04/17","","","10.1016/j.ijbiomac.2020.04.074"
"29894784","Magnetic nanocellulose alginate hydrogel beads as potential drug delivery system","Supramaniam J, Adnan R, Mohd Kaus NH, Bushra R.","Int J Biol Macromol. 2018 Oct 15;118(Pt A):640-648. doi: 10.1016/j.ijbiomac.2018.06.043. Epub 2018 Jun 15.","Supramaniam J","Int J Biol Macromol","2018","2018/06/13","","","10.1016/j.ijbiomac.2018.06.043"
"30790143","pH/Thermo-Dual Responsive Tunable In Situ Cross-Linkable Depot Injectable Hydrogels Based on Poly(N-Isopropylacrylamide)/Carboxymethyl Chitosan with Potential of Controlled Localized and Systemic Drug Delivery","Khan S, Akhtar N, Minhas MU, Badshah SF.","AAPS PharmSciTech. 2019 Feb 21;20(3):119. doi: 10.1208/s12249-019-1328-9.","Khan S","AAPS PharmSciTech","2019","2019/02/22","","","10.1208/s12249-019-1328-9"
"36681938","Thermosensitive Biodegradable Hydrogels for Local and Controlled Cerebral Delivery of Proteins: MRI-Based Monitoring of In Vitro and In Vivo Protein Release","Yanev P, van Tilborg GAF, Boere KWM, Stowe AM, van der Toorn A, Viergever MA, Hennink WE, Vermonden T, Dijkhuizen RM.","ACS Biomater Sci Eng. 2023 Feb 13;9(2):760-772. doi: 10.1021/acsbiomaterials.2c01224. Epub 2023 Jan 22.","Yanev P","ACS Biomater Sci Eng","2023","2023/01/22","PMC9930091","","10.1021/acsbiomaterials.2c01224"
"39661698","Imaging-guided bioresorbable acoustic hydrogel microrobots","Han H, Ma X, Deng W, Zhang J, Tang S, Pak OS, Zhu L, Criado-Hidalgo E, Gong C, Karshalev E, Yoo J, You M, Liu A, Wang C, Shen HK, Patel PN, Hays CL, Gunnarson PJ, Li L, Zhang Y, Dabiri JO, Wang LV, Shapiro MG, Wu D, Zhou Q, Greer JR, Gao W.","Sci Robot. 2024 Dec 11;9(97):eadp3593. doi: 10.1126/scirobotics.adp3593. Epub 2024 Dec 11.","Han H","Sci Robot","2024","2024/12/11","","","10.1126/scirobotics.adp3593"
"28975171","Injectable nanoengineered stimuli-responsive hydrogels for on-demand and localized therapeutic delivery","Jalili NA, Jaiswal MK, Peak CW, Cross LM, Gaharwar AK.","Nanoscale. 2017 Oct 19;9(40):15379-15389. doi: 10.1039/c7nr02327h.","Jalili NA","Nanoscale","2017","2017/10/05","PMC5702913","NIHMS911040","10.1039/c7nr02327h"
"37075330","Biodegradable Microspheres and Hydrogel Drug Delivery System of Tumor Necrosis Factor (TNF) Inhibitor and Growth Differentiation Factor 5 (GDF5) Reduces Disk Inflammation in the Rabbit Model","Yuan B, Rudeen K, Li J, Williams B, Sumughan S, Lopez G, An HS, Kang-Mieler JJ, Chee AV.","Spine (Phila Pa 1976). 2023 Aug 1;48(15):E257-E265. doi: 10.1097/BRS.0000000000004686. Epub 2023 Apr 17.","Yuan B","Spine (Phila Pa 1976)","2023","2023/04/19","","","10.1097/BRS.0000000000004686"
"27634646","Synthesis and characterization of pH-responsive nanoscale hydrogels for oral delivery of hydrophobic therapeutics","Puranik AS, Pao LP, White VM, Peppas NA.","Eur J Pharm Biopharm. 2016 Nov;108:196-213. doi: 10.1016/j.ejpb.2016.09.007. Epub 2016 Sep 12.","Puranik AS","Eur J Pharm Biopharm","2016","2016/09/17","","","10.1016/j.ejpb.2016.09.007"
"39174134","Harnessing chemical functionality of xylan hemicellulose towards carbohydrate polymer-based pH/magnetic dual-responsive nanocomposite hydrogel for drug delivery","Long J, Zhou G, Yu X, Xu J, Hu L, Pranovich A, Yong Q, Xie ZH, Xu C.","Carbohydr Polym. 2024 Nov 1;343:122461. doi: 10.1016/j.carbpol.2024.122461. Epub 2024 Jul 3.","Long J","Carbohydr Polym","2024","2024/08/22","","","10.1016/j.carbpol.2024.122461"
"39366948","Hydrogel Applications in the Diagnosis and Treatment of Glioblastoma","Zhang S, Zhong R, Younis MR, He H, Xu H, Li G, Yang R, Lui S, Wang Y, Wu M.","ACS Appl Mater Interfaces. 2024 Dec 4;16(48):65754-65778. doi: 10.1021/acsami.4c11855. Epub 2024 Oct 4.","Zhang S","ACS Appl Mater Interfaces","2024","2024/10/04","","","10.1021/acsami.4c11855"
"24862232","Biphasic ferrogels for triggered drug and cell delivery","Cezar CA, Kennedy SM, Mehta M, Weaver JC, Gu L, Vandenburgh H, Mooney DJ.","Adv Healthc Mater. 2014 Nov;3(11):1869-76. doi: 10.1002/adhm.201400095. Epub 2014 May 26.","Cezar CA","Adv Healthc Mater","2014","2014/05/28","PMC4227916","NIHMS602972","10.1002/adhm.201400095"
"38742277","4D hydrogels: fabrication strategies, stimulation mechanisms, and biomedical applications","Nain A, Chakraborty S, Jain N, Choudhury S, Chattopadhyay S, Chatterjee K, Debnath S.","Biomater Sci. 2024 Jun 25;12(13):3249-3272. doi: 10.1039/d3bm02044d.","Nain A","Biomater Sci","2024","2024/05/14","","","10.1039/d3bm02044d"
"39519350","Controlled Stimulus-Responsive Delivery Systems for Osteoarthritis Treatment","Ye Q, Zhang M, Li S, Liu W, Xu C, Li Y, Xie R.","Int J Mol Sci. 2024 Nov 2;25(21):11799. doi: 10.3390/ijms252111799.","Ye Q","Int J Mol Sci","2024","2024/11/09","PMC11545989","","10.3390/ijms252111799"
"33455956","Recent advances on drug delivery nanocarriers for cerebral disorders","Zhou Z, Sun T, Jiang C.","Biomed Mater. 2021 Feb 18;16(2):024104. doi: 10.1088/1748-605X/abdc97.","Zhou Z","Biomed Mater","2021","2021/01/18","","","10.1088/1748-605X/abdc97"
"38813390","Stimuli-Responsive Delivery Systems for Intervertebral Disc Degeneration","Tang J, Luo Y, Wang Q, Wu J, Wei Y.","Int J Nanomedicine. 2024 May 25;19:4735-4757. doi: 10.2147/IJN.S463939. eCollection 2024.","Tang J","Int J Nanomedicine","2024","2024/05/30","PMC11135562","","10.2147/IJN.S463939"
"31158422","Magnetic nano carboxymethyl cellulose-alginate/chitosan hydrogel beads as biodegradable devices for controlled drug delivery","Karzar Jeddi M, Mahkam M.","Int J Biol Macromol. 2019 Aug 15;135:829-838. doi: 10.1016/j.ijbiomac.2019.05.210. Epub 2019 May 31.","Karzar Jeddi M","Int J Biol Macromol","2019","2019/06/04","","","10.1016/j.ijbiomac.2019.05.210"
"32617004","Smart Hydrogels - Synthetic Stimuli-Responsive Antitumor Drug Release Systems","Kasiński A, Zielińska-Pisklak M, Oledzka E, Sobczak M.","Int J Nanomedicine. 2020 Jun 25;15:4541-4572. doi: 10.2147/IJN.S248987. eCollection 2020.","Kasiński A","Int J Nanomedicine","2020","2020/07/04","PMC7326401","","10.2147/IJN.S248987"
